title,speaker,topics,links, video
Intermediate Shiny Workshop, Joe Cheng, shiny, https://github.com/jcheng5/rstudio2017-shiny-workshop,
Happy R users purrr: using functional programming to solve iteration problems,Charlotte Wickham,purrr, https://github.com/cwickham/purrr-tutorial,
Building Dashboards with Shiny,Winston Chang & Joe Cheng,shiny,https://github.com/jcheng5/dashtutorial,
R and Sparklyr, Javier Luraschi, spark, https://beta.rstudioconnect.com/content/2371/r-and-spark.html#1,
Using Web APIs from R, Amanda Gadrow, api, https://github.com/ajmcoqui/webAPIsR,
Putting square pegs in round holes: using list-cols in your dataframe, Jenny Bryan, list-columns dataframe, https://speakerdeck.com/jennybc/putting-square-pegs-in-round-holes-using-list-cols-in-your-dataframe,
Writing readable code with pipes, Bob Rudis, coding style, https://github.com/hrbrmstr/rstudioconf2017,
Teaching Introductory Statistics Using the tidyverse via bookdown, Chester Ismay, education, http://ismayc.github.io/rsconf/slides.html,
rOpenSci packages every muggle should know about, Karthik Ram, announcements, http://inundata.org/talks/rc17/,
bsplus, Ian Lyttle, package, https://github.com/ijlyttle/bsplus,
tic, rOpenSci, package, https://github.com/ropenscilabs/tic,
easyMake, Gordon Shotwell, package, https://github.com/GShotwell/easyMake,
fivethirtyeight, Albert Kim, package, https://github.com/rudeboybert/fivethirtyeight,
Dashboards made easy with R Markdown, Sean Lopp, connect,https://github.com/slopp/dashboard_pres,
Opinionated Analysis Development, Hilary Parker, culture, http://www.slideshare.net/hilaryparker/opinionated-analysis-development,
What’s New with the IDE, Kevin Ushey, rstudio, https://github.com/kevinushey/2017-rstudio-conf,
Advanced Rmd, Yihui Xie, rmarkdown, https://slides.yihui.name/2017-rstudio-conf-rmarkdown-Yihui-Xie.html#1,
Making Websites with R, Yihui Xie, blogdown, https://slides.yihui.name/2017-rstudio-conf-blogdown-Yihui-Xie.html#1,
Extending & Customizing R Markdown, Yihui Xie, rmarkdown, https://slides.yihui.name/2017-rstudio-conf-ext-rmd-Yihui-Xie.html#1, 
blogdown, rstudio, package, https://github.com/rstudio/blogdown, 
xaringan, Yihui Xie, package, https://github.com/yihui/xaringan,
shinytest, rstudio, package, https://github.com/rstudio/shinytest,
